date,it_earnings,ai_investments,cpi_inflation,it_hiring
2015-01-01,7246.94,264.39,-0.61,112.88
2015-02-01,7004.83,261.79,-0.67,112.36
2015-03-01,7431.1,280.19,-0.56,116.04
2015-04-01,7021.15,269.45,-0.59,113.89
2015-05-01,7227.32,279.94,-0.78,115.99
2015-06-01,7425.6,282.62,-0.76,116.52
2015-07-01,7423.48,276.83,-0.73,115.37
2015-08-01,7585.33,286.28,-0.81,117.26
2015-09-01,7006.1,258.91,-0.74,111.78
2015-10-01,7120.15,262.06,-0.6,112.41
2015-11-01,7983.3,293.99,-0.71,118.8
2015-12-01,8051.92,294.76,-0.69,118.95
2016-01-01,7716.42,281.12,-0.44,116.22
2016-02-01,7568.14,267.91,-0.47,113.58
2016-03-01,7537.59,270.85,-0.21,114.17
2016-04-01,7681.93,283.26,0.0,116.65
2016-05-01,7654.73,273.83,0.18,114.77
2016-06-01,7934.24,282.5,0.56,116.5
2016-07-01,7767.38,277.34,0.45,115.47
2016-08-01,8286.24,297.25,0.61,119.45
2016-09-01,8350.41,299.0,1.39,119.8
2016-10-01,8362.23,304.16,1.41,120.83
2016-11-01,8205.51,297.93,1.68,119.59
2016-12-01,8435.03,295.88,1.73,119.18
2017-01-01,8645.39,306.96,2.21,121.39
2017-02-01,8904.01,322.04,2.27,124.41
2017-03-01,9281.9,336.94,2.09,127.39
2017-04-01,9192.37,339.51,2.11,127.9
2017-05-01,9509.12,351.85,1.97,130.37
2017-06-01,9722.06,363.53,1.98,132.71
2017-07-01,9469.61,349.81,1.72,129.96
2017-08-01,10026.62,368.45,1.99,133.69
2017-09-01,10166.16,374.24,1.95,134.85
2017-10-01,10297.52,373.87,1.8,134.77
2017-11-01,10594.46,390.54,2.01,138.11
2017-12-01,10652.39,396.12,1.74,139.22
2018-01-01,10890.61,406.96,2.04,141.39
2018-02-01,11457.1,431.34,1.81,146.27
2018-03-01,11276.91,421.91,1.92,144.38
2018-04-01,10763.91,399.43,1.99,139.89
2018-05-01,11323.89,417.62,2.09,143.52
2018-06-01,12224.48,442.75,2.06,148.55
2018-07-01,12387.97,443.61,1.86,148.72
2018-08-01,12433.44,454.56,1.87,150.91
2018-09-01,13116.49,476.39,1.96,155.28
2018-10-01,13089.38,477.84,2.09,155.57
2018-11-01,12274.79,441.82,2.15,148.36
2018-12-01,12112.4,441.38,2.37,148.28
2019-01-01,10936.12,397.55,2.47,139.51
2019-02-01,11720.84,429.72,2.31,145.94
2019-03-01,12304.88,446.97,2.66,149.39
2019-04-01,12863.36,467.4,2.52,153.48
2019-05-01,13286.18,484.49,2.58,156.9
2019-06-01,11949.47,436.13,2.83,147.23
2019-07-01,13184.09,485.51,2.77,157.1
2019-08-01,13375.17,487.57,2.86,157.51
2019-09-01,13312.99,475.59,2.94,155.12
2019-10-01,13431.88,480.26,3.1,156.05
2019-11-01,13913.33,510.07,3.27,162.01
2019-12-01,14324.3,519.33,3.45,163.87
2020-01-01,15156.59,554.51,3.52,170.9
2020-02-01,15681.42,570.39,3.69,174.08
2020-03-01,15383.62,554.87,3.72,170.97
2020-04-01,13633.91,467.89,3.7,153.58
2020-05-01,15829.56,544.89,4.08,168.98
2020-06-01,17019.79,599.93,4.29,179.99
2020-07-01,18275.64,642.45,4.06,188.49
2020-08-01,19552.81,690.94,4.33,198.19
2020-09-01,21614.04,768.3,4.59,213.66
2020-10-01,20988.76,723.95,4.61,204.79
2020-11-01,20425.98,692.8,4.87,198.56
2020-12-01,22309.79,778.46,5.15,215.69
2021-01-01,23013.39,793.42,5.25,218.68
2021-02-01,23928.57,828.06,6.22,225.61
2021-03-01,24005.16,830.18,6.5,226.04
2021-04-01,24671.34,833.09,7.55,226.62
2021-05-01,25159.37,862.48,8.24,232.5
2021-06-01,24435.71,853.41,8.98,230.68
2021-07-01,26329.52,910.0,9.6,242.0
2021-08-01,27320.58,935.23,10.13,247.05
2021-09-01,28231.65,975.72,11.33,255.14
2021-10-01,27239.88,924.49,12.18,244.9
2021-11-01,29311.46,994.08,13.09,258.82
2021-12-01,29551.61,992.36,13.64,258.47
2022-01-01,30285.83,1031.36,14.53,266.27
2022-02-01,27508.84,938.73,14.33,247.75
2022-03-01,26247.34,875.37,14.26,235.07
2022-04-01,27561.18,928.83,13.79,245.77
2022-05-01,24441.12,817.24,13.45,223.45
2022-06-01,22974.54,784.27,13.33,216.85
2022-07-01,21760.22,724.1,12.84,204.82
2022-08-01,24484.11,808.8,12.7,221.76
2022-09-01,23174.04,767.16,12.46,213.43
2022-10-01,21742.91,701.86,12.26,200.37
2022-11-01,21279.81,705.56,12.02,201.11
2022-12-01,22476.57,752.62,11.65,210.52
2023-01-01,20286.85,678.91,11.76,195.78
2023-02-01,23279.77,772.69,11.12,214.54
2023-03-01,22466.38,746.16,10.44,209.23
2023-04-01,24575.95,821.77,9.62,224.35
2023-05-01,24287.37,826.97,8.83,225.39
2023-06-01,26142.42,902.59,8.3,240.52
2023-07-01,26952.84,950.54,7.47,250.11
2023-08-01,27666.21,982.38,6.77,256.48
2023-09-01,27702.06,968.18,6.4,253.64
2023-10-01,27420.13,927.35,5.82,245.47
2023-11-01,26117.03,916.56,5.36,243.31
2023-12-01,27838.16,999.85,4.51,259.97
2024-01-01,28719.48,1034.0,4.02,266.8
2024-02-01,30012.87,1084.04,3.69,276.81
2024-03-01,31578.01,1143.93,4.09,288.79
