date,it_earnings,ai_investments,cpi_inflation,it_hiring
2015-01-01,6833.68,283.91,2.0,112.29
2015-02-01,7688.61,412.57,2.0,116.91
2015-03-01,7720.86,301.73,2.0,114.7
2015-04-01,7235.37,275.92,2.0,113.05
2015-05-01,7266.06,288.41,2.0,112.1
2015-06-01,7477.19,321.47,2.0,114.74
2015-07-01,7683.44,259.22,2.08,116.63
2015-08-01,7526.07,277.9,2.0,113.08
2015-09-01,7424.43,459.22,2.0,117.4
2015-10-01,7900.89,522.78,2.0,114.61
2015-11-01,7746.98,568.31,2.0,116.04
2015-12-01,8219.58,361.49,2.0,115.21
2016-01-01,8112.36,462.41,2.0,118.1
2016-02-01,8079.79,376.34,2.0,110.91
2016-03-01,7936.61,141.94,2.0,112.17
2016-04-01,8184.83,471.58,2.0,115.76
2016-05-01,8452.97,297.62,2.0,114.14
2016-06-01,8059.24,361.58,2.0,113.68
2016-07-01,8143.12,188.94,2.0,111.45
2016-08-01,8339.78,216.95,2.0,111.32
2016-09-01,8623.17,572.07,2.0,115.99
2016-10-01,8807.47,206.18,2.0,114.05
2016-11-01,8500.64,446.49,2.0,112.6
2016-12-01,8355.6,456.43,2.0,116.31
2017-01-01,8847.18,523.99,2.53,114.32
2017-02-01,8768.5,336.93,2.0,112.56
2017-03-01,8810.54,380.9,2.23,116.42
2017-04-01,8598.47,347.23,2.0,114.35
2017-05-01,9153.36,444.7,2.0,115.21
2017-06-01,8839.83,465.35,2.0,116.17
2017-07-01,9007.98,600.8,2.0,117.37
2017-08-01,8893.99,341.16,2.0,113.59
2017-09-01,8995.51,591.07,2.0,121.0
2017-10-01,9283.68,535.38,2.0,116.54
2017-11-01,9027.2,522.34,2.0,117.96
2017-12-01,9059.41,618.17,2.0,113.33
2018-01-01,9048.36,580.69,2.0,117.74
2018-02-01,9678.65,484.83,2.0,116.53
2018-03-01,9233.97,533.26,2.0,115.15
2018-04-01,9295.23,602.6,2.0,115.96
2018-05-01,9743.34,419.85,2.0,114.35
2018-06-01,9631.35,606.28,2.0,118.34
2018-07-01,9724.12,555.38,2.14,115.85
2018-08-01,9608.61,695.06,2.0,113.68
2018-09-01,9933.45,508.21,2.0,115.54
2018-10-01,9821.38,682.57,2.0,117.94
2018-11-01,10128.72,722.36,2.0,116.57
2018-12-01,9808.21,472.39,2.0,116.81
2019-01-01,9832.72,509.84,2.0,114.72
2019-02-01,10000.79,511.92,2.0,113.42
2019-03-01,10279.08,716.38,2.0,117.63
2019-04-01,9998.17,655.38,2.0,111.88
2019-05-01,10123.28,589.78,2.0,119.81
2019-06-01,10445.19,740.42,2.34,116.79
2019-07-01,10030.37,676.7,2.0,116.51
2019-08-01,10563.08,793.8,2.0,116.44
2019-09-01,9986.33,730.92,2.0,115.62
2019-10-01,10480.34,751.61,2.0,115.37
2019-11-01,10743.8,634.65,2.0,116.7
2019-12-01,10440.11,844.93,2.0,115.99
2020-01-01,10297.39,864.98,2.0,115.87
2020-02-01,10873.32,640.47,2.0,116.78
2020-03-01,10545.96,808.19,2.21,116.66
2020-04-01,10694.09,896.29,2.0,116.77
2020-05-01,10894.78,778.36,2.0,115.26
2020-06-01,10709.51,1032.86,2.2,114.15
2020-07-01,11273.74,1096.57,2.0,119.35
2020-08-01,11081.64,1010.3,2.0,116.82
2020-09-01,10848.78,1049.87,2.0,117.83
2020-10-01,11438.75,972.06,2.07,115.89
2020-11-01,11345.29,1057.51,2.0,118.46
2020-12-01,11328.94,1052.27,2.0,117.85
2021-01-01,11338.42,941.47,2.0,119.93
2021-02-01,11343.98,881.23,2.75,117.01
2021-03-01,11760.91,985.38,3.55,118.21
2021-04-01,11231.93,1136.16,4.35,119.61
2021-05-01,11386.3,1142.53,5.15,116.63
2021-06-01,11888.92,1158.73,5.95,121.11
2021-07-01,11903.65,1148.26,6.75,119.52
2021-08-01,11750.08,1292.43,7.55,118.97
2021-09-01,11866.46,1141.42,8.35,114.37
2021-10-01,11589.27,1216.14,9.15,117.87
2021-11-01,11933.3,1156.68,9.95,117.25
2021-12-01,11922.93,1271.52,10.75,119.83
2022-01-01,11951.44,1488.7,11.55,118.83
2022-02-01,12009.58,1312.57,12.35,117.58
2022-03-01,11856.48,1586.01,13.15,118.88
2022-04-01,11643.84,1304.34,13.95,118.74
2022-05-01,12615.69,1638.09,14.75,118.3
2022-06-01,12261.35,1665.84,15.55,120.33
2022-07-01,11992.15,1521.45,16.35,119.28
2022-08-01,12403.89,1614.06,17.15,117.77
2022-09-01,12161.53,1623.67,17.95,118.78
2022-10-01,12114.68,1608.22,18.75,114.04
2022-11-01,12416.89,1920.69,19.55,120.14
2022-12-01,12582.15,1889.32,20.35,118.09
2023-01-01,12514.74,2081.15,19.95,119.09
2023-02-01,12382.25,1882.58,19.55,115.76
2023-03-01,12430.1,2145.65,19.15,119.8
2023-04-01,12627.27,1957.22,18.75,119.6
2023-05-01,12494.53,2082.91,18.35,120.67
2023-06-01,12901.54,2214.62,17.95,118.25
2023-07-01,13118.93,2483.22,17.55,120.14
2023-08-01,12644.18,2407.93,17.15,120.02
2023-09-01,12857.09,2303.37,16.75,119.32
2023-10-01,12925.45,2655.74,16.35,118.24
2023-11-01,13304.62,2510.94,15.95,121.49
2023-12-01,13007.78,2558.09,15.55,117.71
2024-01-01,13660.1,2705.85,15.15,119.34
